customer_id,window_end_day,sequence_risk_score,sequence_window_count
CUST000000,47,0.3623,29
CUST000001,47,0.0751,29
CUST000002,47,0.2238,29
CUST000003,47,0.1455,29
CUST000004,47,0.1042,29
CUST000005,47,0.1674,29
CUST000006,47,0.1103,29
CUST000007,47,0.255,29
CUST000008,47,0.0995,29
CUST000009,47,0.1182,29
CUST000010,47,0.1606,29
CUST000011,47,0.1245,29
CUST000012,47,0.1151,29
CUST000013,47,0.263,29
CUST000014,47,0.2607,29
CUST000015,47,0.4085,29
CUST000016,47,0.2981,29
CUST000017,47,0.4154,29
CUST000018,47,0.1449,29
CUST000019,47,0.1083,29
CUST000020,47,0.1133,29
CUST000021,47,0.2014,29
CUST000022,47,0.301,29
CUST000023,47,0.1668,29
CUST000024,47,0.0814,29
CUST000025,47,0.0746,29
CUST000026,47,0.1028,29
CUST000027,47,0.2518,29
CUST000028,47,0.2126,29
CUST000029,47,0.2265,29
CUST000030,47,0.1061,29
CUST000031,47,0.1933,29
CUST000032,47,0.3557,29
CUST000033,47,0.115,29
CUST000034,47,0.2071,29
CUST000035,47,0.2441,29
CUST000036,47,0.1074,29
CUST000037,47,0.4275,29
CUST000038,47,0.2285,29
CUST000039,47,0.114,29
CUST000040,47,0.1691,29
CUST000041,47,0.173,29
CUST000042,47,0.5759,29
CUST000043,47,0.1384,29
CUST000044,47,0.176,29
CUST000045,47,0.115,29
CUST000046,47,0.1586,29
CUST000047,47,0.216,29
CUST000048,47,0.0956,29
CUST000049,47,0.1016,29
CUST000050,47,0.2334,29
CUST000051,47,0.1524,29
CUST000052,47,0.1017,29
CUST000053,47,0.072,29
CUST000054,47,0.1307,29
CUST000055,47,0.1096,29
CUST000056,47,0.2332,29
CUST000057,47,0.306,29
CUST000058,47,0.0571,29
CUST000059,47,0.2768,29
CUST000060,47,0.418,29
CUST000061,47,0.1001,29
CUST000062,47,0.0817,29
CUST000063,47,0.1016,29
CUST000064,47,0.259,29
CUST000065,47,0.2151,29
CUST000066,47,0.1238,29
CUST000067,47,0.2402,29
CUST000068,47,0.3992,29
CUST000069,47,0.1081,29
CUST000070,47,0.1196,29
CUST000071,47,0.2667,29
CUST000072,47,0.1347,29
CUST000073,47,0.2172,29
CUST000074,47,0.35,29
CUST000075,47,0.102,29
CUST000076,47,0.1968,29
CUST000077,47,0.1907,29
CUST000078,47,0.1626,29
CUST000079,47,0.4167,29
CUST000080,47,0.2355,29
CUST000081,47,0.1694,29
CUST000082,47,0.2653,29
CUST000083,47,0.4215,29
CUST000084,47,0.1087,29
CUST000085,47,0.366,29
CUST000086,47,0.1062,29
CUST000087,47,0.1339,29
CUST000088,47,0.4054,29
CUST000089,47,0.2586,29
CUST000090,47,0.2355,29
CUST000091,47,0.0995,29
CUST000092,47,0.0655,29
CUST000093,47,0.0828,29
CUST000094,47,0.1016,29
CUST000095,47,0.1144,29
CUST000096,47,0.0958,29
CUST000097,47,0.1249,29
CUST000098,47,0.1454,29
CUST000099,47,0.2351,29
CUST000100,47,0.1113,29
CUST000101,47,0.1178,29
CUST000102,47,0.108,29
CUST000103,47,0.2151,29
CUST000104,47,0.2462,29
CUST000105,47,0.0707,29
CUST000106,47,0.3019,29
CUST000107,47,0.2178,29
CUST000108,47,0.2847,29
CUST000109,47,0.1178,29
CUST000110,47,0.1412,29
CUST000111,47,0.2988,29
CUST000112,47,0.1191,29
CUST000113,47,0.1144,29
CUST000114,47,0.2873,29
CUST000115,47,0.1907,29
CUST000116,47,0.1632,29
CUST000117,47,0.2515,29
CUST000118,47,0.3331,29
CUST000119,47,0.0803,29
CUST000120,47,0.4812,29
CUST000121,47,0.108,29
CUST000122,47,0.1049,29
CUST000123,47,0.0823,29
CUST000124,47,0.2168,29
CUST000125,47,0.2584,29
CUST000126,47,0.4856,29
CUST000127,47,0.1703,29
CUST000128,47,0.1631,29
CUST000129,47,0.0971,29
CUST000130,47,0.3991,29
CUST000131,47,0.1013,29
CUST000132,47,0.1172,29
CUST000133,47,0.1089,29
CUST000134,47,0.0481,29
CUST000135,47,0.1708,29
CUST000136,47,0.1137,29
CUST000137,47,0.1082,29
CUST000138,47,0.1502,29
CUST000139,47,0.2547,29
CUST000140,47,0.256,29
CUST000141,47,0.1067,29
CUST000142,47,0.0629,29
CUST000143,47,0.1099,29
CUST000144,47,0.1153,29
CUST000145,47,0.1219,29
CUST000146,47,0.1281,29
CUST000147,47,0.4114,29
CUST000148,47,0.1185,29
CUST000149,47,0.092,29
CUST000150,47,0.2125,29
CUST000151,47,0.1001,29
CUST000152,47,0.1085,29
CUST000153,47,0.0992,29
CUST000154,47,0.3,29
CUST000155,47,0.0786,29
CUST000156,47,0.1686,29
CUST000157,47,0.1145,29
CUST000158,47,0.2421,29
CUST000159,47,0.0997,29
CUST000160,47,0.0766,29
CUST000161,47,0.2396,29
CUST000162,47,0.1159,29
CUST000163,47,0.0997,29
CUST000164,47,0.1142,29
CUST000165,47,0.1117,29
CUST000166,47,0.1933,29
CUST000167,47,0.122,29
CUST000168,47,0.1103,29
CUST000169,47,0.0968,29
CUST000170,47,0.2059,29
CUST000171,47,0.1025,29
CUST000172,47,0.2065,29
CUST000173,47,0.1786,29
CUST000174,47,0.2952,29
CUST000175,47,0.2538,29
CUST000176,47,0.0943,29
CUST000177,47,0.1582,29
CUST000178,47,0.1746,29
CUST000179,47,0.4617,29
CUST000180,47,0.1484,29
CUST000181,47,0.1538,29
CUST000182,47,0.1828,29
CUST000183,47,0.2234,29
CUST000184,47,0.0922,29
CUST000185,47,0.229,29
CUST000186,47,0.2779,29
CUST000187,47,0.1065,29
CUST000188,47,0.3948,29
CUST000189,47,0.1179,29
CUST000190,47,0.2856,29
CUST000191,47,0.1706,29
CUST000192,47,0.1049,29
CUST000193,47,0.2458,29
CUST000194,47,0.1214,29
CUST000195,47,0.0978,29
CUST000196,47,0.1013,29
CUST000197,47,0.1094,29
CUST000198,47,0.1068,29
CUST000199,47,0.2186,29
CUST000200,47,0.2373,29
CUST000201,47,0.1303,29
CUST000202,47,0.0917,29
CUST000203,47,0.1197,29
CUST000204,47,0.0999,29
CUST000205,47,0.2192,29
CUST000206,47,0.2289,29
CUST000207,47,0.1354,29
CUST000208,47,0.2011,29
CUST000209,47,0.1736,29
CUST000210,47,0.1383,29
CUST000211,47,0.1377,29
CUST000212,47,0.0904,29
CUST000213,47,0.2705,29
CUST000214,47,0.1037,29
CUST000215,47,0.3622,29
CUST000216,47,0.1167,29
CUST000217,47,0.0884,29
CUST000218,47,0.2502,29
CUST000219,47,0.1726,29
CUST000220,47,0.444,29
CUST000221,47,0.0697,29
CUST000222,47,0.1054,29
CUST000223,47,0.113,29
CUST000224,47,0.2335,29
CUST000225,47,0.1178,29
CUST000226,47,0.2433,29
CUST000227,47,0.3251,29
CUST000228,47,0.1683,29
CUST000229,47,0.109,29
CUST000230,47,0.1602,29
CUST000231,47,0.1199,29
CUST000232,47,0.2214,29
CUST000233,47,0.1875,29
CUST000234,47,0.1187,29
CUST000235,47,0.5891,29
CUST000236,47,0.254,29
CUST000237,47,0.1136,29
CUST000238,47,0.0678,29
CUST000239,47,0.2612,29
CUST000240,47,0.0956,29
CUST000241,47,0.3597,29
CUST000242,47,0.244,29
CUST000243,47,0.2653,29
CUST000244,47,0.1055,29
CUST000245,47,0.3789,29
CUST000246,47,0.1271,29
CUST000247,47,0.116,29
CUST000248,47,0.2814,29
CUST000249,47,0.1308,29
CUST000250,47,0.1202,29
CUST000251,47,0.4047,29
CUST000252,47,0.4439,29
CUST000253,47,0.1172,29
CUST000254,47,0.0672,29
CUST000255,47,0.0949,29
CUST000256,47,0.0968,29
CUST000257,47,0.0994,29
CUST000258,47,0.2208,29
CUST000259,47,0.046,29
CUST000260,47,0.2247,29
CUST000261,47,0.1061,29
CUST000262,47,0.1296,29
CUST000263,47,0.4056,29
CUST000264,47,0.2044,29
CUST000265,47,0.1637,29
CUST000266,47,0.1806,29
CUST000267,47,0.172,29
CUST000268,47,0.1994,29
CUST000269,47,0.105,29
CUST000270,47,0.45,29
CUST000271,47,0.1082,29
CUST000272,47,0.4105,29
CUST000273,47,0.4124,29
CUST000274,47,0.2916,29
CUST000275,47,0.1363,29
CUST000276,47,0.0998,29
CUST000277,47,0.2256,29
CUST000278,47,0.1086,29
