
customer_id,age,monthly_income,emi,credit_card_due,emi_to_income_ratio,credit_utilization,missed_payments,salary_delay,job_loss,avg_balance,balance_drop_ratio,atm_withdrawals,spending_change,bill_delay_count,account_tenure,label,total_obligations,debt_stress_ratio,liquidity_buffer,spending_instability,payment_discipline,financial_health_score,shock_flag,credit_dependency,early_risk_flag,stability_score
CUST000000,22,97097,38813,9412,0.4,0.59,0,1,0,105319,0.46,5,0.08,0,95,1,48225,0.4966682801734348,58284,0.08,1.0,0.685,1,5553.08,0,0.9381668520463862
CUST000001,29,71868,7851,11681,0.11,0.26,0,0,0,101291,0.2,3,0.02,0,95,1,19532,0.2717760338398174,64017,0.02,1.0,0.862,0,3037.06,0,1.1005252032633448
CUST000002,55,135604,42301,16724,0.31,0.57,0,1,0,87711,0.26,11,0.01,1,12,1,59025,0.4352747706557329,93303,0.01,0.5,0.5509999999999999,0,9532.679999999998,0,0.3734062165849341
CUST000003,26,105990,30118,21831,0.28,0.27,0,0,0,126669,0.14,3,0.13,0,28,1,51949,0.4901311444475894,75872,0.13,1.0,0.877,0,5894.370000000001,0,0.7142126847248037
CUST000004,22,97124,21130,19672,0.22,0.28,0,0,0,121283,0.13,6,-0.02,1,72,0,40802,0.4201021374737449,75994,0.02,0.5,0.677,0,5508.160000000001,0,0.9243655083655083
CUST000005,55,82787,35787,18763,0.43,0.61,1,0,0,119694,0.2,12,-0.15,0,54,0,54550,0.6589198787249205,47000,0.15,0.5,0.5569999999999999,0,11445.43,0,0.9478946224090448
CUST000006,38,46703,3736,13440,0.08,0.37,0,0,0,99764,0.23,5,0.06,1,104,0,17176,0.3677708070145387,42967,0.06,0.5,0.62,0,4972.8,0,1.501378896882494
CUST000007,31,135785,46793,43435,0.34,0.65,1,0,0,216890,0.2,7,0.19,2,90,1,90228,0.6644916596089406,88992,0.19,0.25,0.4449999999999999,0,28232.75,0,1.1736463994815372
CUST000008,30,133236,30729,24903,0.23,0.29,0,0,0,300571,0.05,7,0.01,1,28,0,55632,0.417544807709628,102507,0.01,0.5,0.698,0,7221.87,0,1.2446228650199769
CUST000009,45,139104,19949,9318,0.14,0.17,1,0,0,306710,0.12,0,-0.03,1,13,1,29267,0.21039653784219,119155,0.03,0.3333333333333333,0.6463333333333333,0,1584.0600000000002,0,1.156607269089297
CUST000010,59,36390,16155,13329,0.44,0.77,0,0,0,36555,0.34,8,0.11,2,34,1,29484,0.8102225886232481,20235,0.11,0.3333333333333333,0.4003333333333333,0,10263.33,1,0.6439199710551144
CUST000011,55,124230,42092,39568,0.34,0.88,0,0,0,104815,0.17,11,0.03,0,16,1,81660,0.6573291475489013,82138,0.03,1.0,0.685,0,34819.840000000004,0,0.4885219201863195
CUST000012,39,209794,51396,62938,0.24,0.18,0,1,0,505399,0.1,9,-0.07,0,107,1,114334,0.5449822206545468,158398,0.07,1.0,0.916,0,11328.84,0,1.6503401137618467
CUST000013,44,75407,30590,25420,0.41,0.75,1,1,0,62951,0.24,5,-0.05,1,74,1,56010,0.7427692389300729,44817,0.05,0.3333333333333333,0.4363333333333333,0,19065.0,0,0.7257359961807766
CUST000014,23,84742,30942,32448,0.37,0.48,1,1,0,61850,0.52,9,0.27,0,85,1,63390,0.7480352127634466,53800,0.27,0.5,0.5,1,15575.04,0,0.7190935632834964
CUST000015,26,86024,28668,34388,0.33,0.57,2,0,0,78876,0.21,3,-0.29,4,110,1,63056,0.733004742862457,57356,0.29,0.1428571428571428,0.4231428571428571,0,19601.16,0,0.916781458878233
CUST000016,45,77429,37789,26797,0.49,0.75,3,1,0,29698,0.48,16,0.22,1,36,1,64586,0.8341319143989978,39640,0.22,0.2,0.311,1,20097.75,0,0.3417732145163373
CUST000017,44,122040,50252,44691,0.41,0.63,1,0,0,162704,0.24,5,-0.02,5,21,1,94943,0.77796624057686,71788,0.02,0.1428571428571428,0.3961428571428571,0,28155.33,0,0.7540956522807909
CUST000018,38,214878,54867,42085,0.26,0.4,0,0,0,452809,0.19,6,-0.02,3,90,0,96952,0.4511955621329312,160011,0.02,0.25,0.523,0,16834.0,0,1.4286371632407076
CUST000019,31,109175,21111,20470,0.19,0.44,0,0,0,305129,0.12,5,0.03,1,69,1,41581,0.3808655827799405,88064,0.03,0.5,0.6320000000000001,0,9006.8,0,1.6849179306807356
CUST000020,45,212772,58233,47123,0.27,0.41,0,0,0,525186,0.08,1,0.12,1,35,0,105356,0.4951591374804955,154539,0.12,0.5,0.653,0,19320.43,0,1.3799795830924662
CUST000021,35,110008,35789,24961,0.33,0.63,0,1,0,109295,0.42,10,-0.15,0,88,0,60750,0.5522325649043706,74219,0.15,1.0,0.685,1,15725.43,0,0.8634214776366782
CUST000022,24,33414,12891,10963,0.39,0.51,2,1,0,32116,0.3,11,0.12,3,30,1,23854,0.7138923804393368,20523,0.12,0.1666666666666666,0.4236666666666666,0,5591.13,0,0.605562621577136
CUST000023,46,42350,10323,9631,0.24,0.7,1,0,0,41258,0.33,12,0.28,0,35,1,19954,0.4711688311688312,32027,0.28,0.5,0.491,0,6741.7,0,0.6329292696748601
