customer_id,age,monthly_income,emi,credit_card_due,emi_to_income_ratio,credit_utilization,missed_payments,salary_delay,job_loss,avg_balance,balance_drop_ratio,atm_withdrawals,spending_change,bill_delay_count,account_tenure
CUST000000,22,97097,38813,9412,0.4,0.59,0,1,0,105319,0.46,5,0.08,0,95
CUST000001,29,71868,7851,11681,0.11,0.26,0,0,0,101291,0.2,3,0.02,0,95
CUST000002,55,135604,42301,16724,0.31,0.57,0,1,0,87711,0.26,11,0.01,1,12
CUST000003,26,105990,30118,21831,0.28,0.27,0,0,0,126669,0.14,3,0.13,0,28
CUST000004,22,97124,21130,19672,0.22,0.28,0,0,0,121283,0.13,6,-0.02,1,72
CUST000005,55,82787,35787,18763,0.43,0.61,1,0,0,119694,0.2,12,-0.15,0,54
CUST000006,38,46703,3736,13440,0.08,0.37,0,0,0,99764,0.23,5,0.06,1,104
CUST000007,31,135785,46793,43435,0.34,0.65,1,0,0,216890,0.2,7,0.19,2,90
CUST000008,30,133236,30729,24903,0.23,0.29,0,0,0,300571,0.05,7,0.01,1,28
CUST000009,45,139104,19949,9318,0.14,0.17,1,0,0,306710,0.12,0,-0.03,1,13
CUST000010,59,36390,16155,13329,0.44,0.77,0,0,0,36555,0.34,8,0.11,2,34
CUST000011,55,124230,42092,39568,0.34,0.88,0,0,0,104815,0.17,11,0.03,0,16
CUST000012,39,209794,51396,62938,0.24,0.18,0,1,0,505399,0.1,9,-0.07,0,107
CUST000013,44,75407,30590,25420,0.41,0.75,1,1,0,62951,0.24,5,-0.05,1,74
CUST000014,23,84742,30942,32448,0.37,0.48,1,1,0,61850,0.52,9,0.27,0,85
CUST000015,26,86024,28668,34388,0.33,0.57,2,0,0,78876,0.21,3,-0.29,4,110
CUST000016,45,77429,37789,26797,0.49,0.75,3,1,0,29698,0.48,16,0.22,1,36
CUST000017,44,122040,50252,44691,0.41,0.63,1,0,0,162704,0.24,5,-0.02,5,21
CUST000018,38,214878,54867,42085,0.26,0.4,0,0,0,452809,0.19,6,-0.02,3,90
CUST000019,31,109175,21111,20470,0.19,0.44,0,0,0,305129,0.12,5,0.03,1,69
CUST000020,45,212772,58233,47123,0.27,0.41,0,0,0,525186,0.08,1,0.12,1,35
CUST000021,35,110008,35789,24961,0.33,0.63,0,1,0,109295,0.42,10,-0.15,0,88
CUST000022,24,33414,12891,10963,0.39,0.51,2,1,0,32116,0.3,11,0.12,3,30
CUST000023,46,42350,10323,9631,0.24,0.7,1,0,0,41258,0.33,12,0.28,0,35
CUST000024,57,127490,31959,5616,0.25,0.2,1,0,0,243784,0.0,6,-0.02,0,113
CUST000025,52,213519,28653,41138,0.13,0.39,0,0,0,639153,0.12,7,0.24,0,51
CUST000026,37,109651,21891,20590,0.2,0.29,0,0,0,229298,0.16,7,0.03,0,18
CUST000027,55,137311,46340,25618,0.34,0.41,1,1,0,111827,0.17,6,0.03,1,34
CUST000028,46,46746,22405,10152,0.48,0.74,2,1,0,15028,0.55,15,-0.3,3,47
CUST000029,29,82686,57880,27718,0.7,0.81,1,1,0,31946,0.61,9,-0.6,5,66
CUST000030,24,73743,11482,4205,0.16,0.25,1,0,0,116117,0.04,4,0.04,1,111
CUST000031,31,155666,45895,28187,0.29,0.56,0,0,0,140099,0.05,2,-0.01,0,102
CUST000032,45,147696,57781,46349,0.39,0.6,0,1,0,68899,0.3,8,0.08,1,49
CUST000033,56,48009,7213,6978,0.15,0.36,0,0,0,105708,0.06,7,0.12,0,111
CUST000034,28,94946,37887,22072,0.4,0.8,1,1,0,105810,0.33,11,-0.14,0,88
CUST000035,42,101939,43461,28763,0.43,0.35,0,1,0,155805,0.35,7,0.16,3,15
CUST000036,50,114045,23455,12456,0.21,0.43,1,0,0,167072,0.07,6,0.08,0,1
CUST000037,32,31947,16199,7220,0.51,0.92,3,1,0,14856,0.63,18,-0.06,1,65
CUST000038,40,101748,36207,12209,0.36,0.99,2,0,1,58342,0.42,10,-0.21,6,108
CUST000039,33,143019,30592,29689,0.21,0.41,0,0,0,459001,0.02,4,0.03,0,20
CUST000040,55,25149,8512,9313,0.34,0.48,1,0,1,22904,0.2,6,0.06,0,100
CUST000041,52,54325,9778,19107,0.18,0.74,0,0,0,72115,0.27,4,0.03,1,3
CUST000042,40,25592,14386,10277,0.56,0.73,3,1,0,5768,0.53,16,-0.09,1,31
CUST000043,57,67453,18314,11896,0.27,0.29,0,0,0,78651,0.12,5,-0.09,0,11
CUST000044,25,57967,14930,13638,0.26,0.82,0,0,0,61433,0.29,7,0.14,2,98
CUST000045,51,88287,20419,17565,0.23,0.37,0,0,0,198965,0.0,4,0.1,1,71
CUST000046,59,100521,34838,17577,0.35,0.45,0,0,0,124583,0.06,2,0.04,0,55
CUST000047,33,58857,19870,21438,0.34,0.76,2,1,0,20988,0.52,13,-0.48,4,92
CUST000048,44,180679,43830,32023,0.24,0.29,0,0,0,371356,0.13,4,0.09,0,57
